k,sexo,chave,l,m,s
1000866,1,866,-0.3521,12.0658,0.08102
1000867,1,867,-0.3521,12.0905,0.08099
1000868,1,868,-0.3521,12.1152,0.08096
1000869,1,869,-0.3521,12.1398,0.08093
1000870,1,870,-0.3521,12.1645,0.0809
1000871,1,871,-0.3521,12.1891,0.08087
1000872,1,872,-0.3521,12.2136,0.08084
1000873,1,873,-0.3521,12.2382,0.08082
1000874,1,874,-0.3521,12.2627,0.08079
1000875,1,875,-0.3521,12.2871,0.08076
1000876,1,876,-0.3521,12.3116,0.08074
1000877,1,877,-0.3521,12.336,0.08071
1000878,1,878,-0.3521,12.3603,0.08069
1000879,1,879,-0.3521,12.3846,0.08067
1000880,1,880,-0.3521,12.4089,0.08064
1000881,1,881,-0.3521,12.4332,0.08062
1000882,1,882,-0.3521,12.4574,0.0806
1000883,1,883,-0.3521,12.4815,0.08058
1000884,1,884,-0.3521,12.5057,0.08056
1000885,1,885,-0.3521,12.5298,0.08054
1000886,1,886,-0.3521,12.5538,0.08052
1000887,1,887,-0.3521,12.5778,0.0805
1000888,1,888,-0.3521,12.6017,0.08048
1000889,1,889,-0.3521,12.6257,0.08047
1000890,1,890,-0.3521,12.6495,0.08045
1000891,1,891,-0.3521,12.6734,0.08044
1000892,1,892,-0.3521,12.6972,0.08042
1000893,1,893,-0.3521,12.7209,0.08041
1000894,1,894,-0.3521,12.7446,0.08039
1000895,1,895,-0.3521,12.7683,0.08038
1000896,1,896,-0.3521,12.792,0.08037
1000897,1,897,-0.3521,12.8156,0.08035
1000898,1,898,-0.3521,12.8392,0.08034
1000899,1,899,-0.3521,12.8628,0.08033
1000900,1,900,-0.3521,12.8864,0.08032
1000901,1,901,-0.3521,12.9099,0.08031
1000902,1,902,-0.3521,12.9334,0.0803
1000903,1,903,-0.3521,12.9569,0.0803
1000904,1,904,-0.3521,12.9804,0.08029
1000905,1,905,-0.3521,13.0038,0.08028
1000906,1,906,-0.3521,13.0273,0.08027
1000907,1,907,-0.3521,13.0507,0.08027
1000908,1,908,-0.3521,13.0742,0.08026
1000909,1,909,-0.3521,13.0976,0.08026
1000910,1,910,-0.3521,13.1209,0.08025
1000911,1,911,-0.3521,13.1443,0.08025
1000912,1,912,-0.3521,13.1677,0.08025
1000913,1,913,-0.3521,13.191,0.08025
1000914,1,914,-0.3521,13.2143,0.08025
1000915,1,915,-0.3521,13.2376,0.08024
1000916,1,916,-0.3521,13.2609,0.08024
1000917,1,917,-0.3521,13.2842,0.08024
1000918,1,918,-0.3521,13.3075,0.08025
1000919,1,919,-0.3521,13.3308,0.08025
1000920,1,920,-0.3521,13.3541,0.08025
1000921,1,921,-0.3521,13.3773,0.08025
1000922,1,922,-0.3521,13.4006,0.08026
1000923,1,923,-0.3521,13.4239,0.08026
1000924,1,924,-0.3521,13.4472,0.08027
1000925,1,925,-0.3521,13.4705,0.08027
1000926,1,926,-0.3521,13.4937,0.08028
1000927,1,927,-0.3521,13.5171,0.08028
1000928,1,928,-0.3521,13.5404,0.08029
1000929,1,929,-0.3521,13.5637,0.0803
1000930,1,930,-0.3521,13.587,0.08031
1000931,1,931,-0.3521,13.6104,0.08032
1000932,1,932,-0.3521,13.6338,0.08033
1000933,1,933,-0.3521,13.6572,0.08034
1000934,1,934,-0.3521,13.6806,0.08035
1000935,1,935,-0.3521,13.7041,0.08036
1000936,1,936,-0.3521,13.7275,0.08037
1000937,1,937,-0.3521,13.751,0.08038
1000938,1,938,-0.3521,13.7746,0.0804
1000939,1,939,-0.3521,13.7981,0.08041
1000940,1,940,-0.3521,13.8217,0.08043
1000941,1,941,-0.3521,13.8454,0.08044
1000942,1,942,-0.3521,13.8691,0.08046
1000943,1,943,-0.3521,13.8928,0.08047
1000944,1,944,-0.3521,13.9165,0.08049
1000945,1,945,-0.3521,13.9403,0.08051
1000946,1,946,-0.3521,13.9642,0.08052
1000947,1,947,-0.3521,13.9881,0.08054
1000948,1,948,-0.3521,14.012,0.08056
1000949,1,949,-0.3521,14.036,0.08058
1000950,1,950,-0.3521,14.06,0.0806
1000951,1,951,-0.3521,14.0841,0.08062
1000952,1,952,-0.3521,14.1083,0.08064
1000953,1,953,-0.3521,14.1325,0.08067
1000954,1,954,-0.3521,14.1567,0.08069
1000955,1,955,-0.3521,14.1811,0.08071
1000956,1,956,-0.3521,14.2055,0.08073
1000957,1,957,-0.3521,14.2299,0.08076
1000958,1,958,-0.3521,14.2544,0.08078
1000959,1,959,-0.3521,14.279,0.08081
1000960,1,960,-0.3521,14.3037,0.08083
1000961,1,961,-0.3521,14.3284,0.08086
1000962,1,962,-0.3521,14.3533,0.08089
1000963,1,963,-0.3521,14.3782,0.08092
1000964,1,964,-0.3521,14.4031,0.08094
1000965,1,965,-0.3521,14.4282,0.08097
1000966,1,966,-0.3521,14.4533,0.081
1000967,1,967,-0.3521,14.4785,0.08103
1000968,1,968,-0.3521,14.5038,0.08106
1000969,1,969,-0.3521,14.5292,0.08109
1000970,1,970,-0.3521,14.5547,0.08112
1000971,1,971,-0.3521,14.5802,0.08116
1000972,1,972,-0.3521,14.6058,0.08119
1000973,1,973,-0.3521,14.6316,0.08122
1000974,1,974,-0.3521,14.6574,0.08125
1000975,1,975,-0.3521,14.6832,0.08129
1000976,1,976,-0.3521,14.7092,0.08132
1000977,1,977,-0.3521,14.7353,0.08136
1000978,1,978,-0.3521,14.7614,0.08139
1000979,1,979,-0.3521,14.7877,0.08143
1000980,1,980,-0.3521,14.814,0.08146
1000981,1,981,-0.3521,14.8404,0.0815
1000982,1,982,-0.3521,14.8669,0.08154
1000983,1,983,-0.3521,14.8934,0.08157
1000984,1,984,-0.3521,14.9201,0.08161
1000985,1,985,-0.3521,14.9468,0.08165
1000986,1,986,-0.3521,14.9736,0.08169
1000987,1,987,-0.3521,15.0005,0.08173
1000988,1,988,-0.3521,15.0275,0.08177
1000989,1,989,-0.3521,15.0546,0.08181
1000990,1,990,-0.3521,15.0818,0.08185
1000991,1,991,-0.3521,15.109,0.08189
1000992,1,992,-0.3521,15.1363,0.08194
1000993,1,993,-0.3521,15.1637,0.08198
1000994,1,994,-0.3521,15.1912,0.08202
1000995,1,995,-0.3521,15.2187,0.08206
1000996,1,996,-0.3521,15.2463,0.08211
1000997,1,997,-0.3521,15.274,0.08215
1000998,1,998,-0.3521,15.3018,0.0822
1000999,1,999,-0.3521,15.3297,0.08224
1001000,1,1000,-0.3521,15.3576,0.08229
1001001,1,1001,-0.3521,15.3856,0.08233
1001002,1,1002,-0.3521,15.4137,0.08238
1001003,1,1003,-0.3521,15.4419,0.08243
1001004,1,1004,-0.3521,15.4701,0.08247
1001005,1,1005,-0.3521,15.4985,0.08252
1001006,1,1006,-0.3521,15.5268,0.08257
1001007,1,1007,-0.3521,15.5553,0.08262
1001008,1,1008,-0.3521,15.5838,0.08267
1001009,1,1009,-0.3521,15.6125,0.08272
1001010,1,1010,-0.3521,15.6412,0.08277
1001011,1,1011,-0.3521,15.6699,0.08281
1001012,1,1012,-0.3521,15.6987,0.08287
1001013,1,1013,-0.3521,15.7276,0.08292
1001014,1,1014,-0.3521,15.7566,0.08297
1001015,1,1015,-0.3521,15.7857,0.08302
1001016,1,1016,-0.3521,15.8148,0.08307
1001017,1,1017,-0.3521,15.844,0.08312
1001018,1,1018,-0.3521,15.8732,0.08317
1001019,1,1019,-0.3521,15.9026,0.08322
1001020,1,1020,-0.3521,15.932,0.08328
1001021,1,1021,-0.3521,15.9615,0.08333
1001022,1,1022,-0.3521,15.991,0.08338
1001023,1,1023,-0.3521,16.0206,0.08343
1001024,1,1024,-0.3521,16.0503,0.08349
1001025,1,1025,-0.3521,16.0801,0.08354
1001026,1,1026,-0.3521,16.1099,0.08359
1001027,1,1027,-0.3521,16.1398,0.08365
1001028,1,1028,-0.3521,16.1697,0.0837
1001029,1,1029,-0.3521,16.1997,0.08376
1001030,1,1030,-0.3521,16.2298,0.08381
1001031,1,1031,-0.3521,16.26,0.08386
1001032,1,1032,-0.3521,16.2902,0.08392
1001033,1,1033,-0.3521,16.3204,0.08397
1001034,1,1034,-0.3521,16.3508,0.08403
1001035,1,1035,-0.3521,16.3812,0.08408
1001036,1,1036,-0.3521,16.4117,0.08414
1001037,1,1037,-0.3521,16.4422,0.08419
1001038,1,1038,-0.3521,16.4728,0.08425
1001039,1,1039,-0.3521,16.5035,0.08431
1001040,1,1040,-0.3521,16.5342,0.08436
1001041,1,1041,-0.3521,16.565,0.08442
